variable,coefficient,std_err,t_value,p_value,conf_int_lower,conf_int_upper
const,0.6350148548588943,0.004051916809489906,156.71961807597825,0.0,0.62707296566201,0.6429567440557786
loan_amnt,0.002788822888983923,0.0013939219907150484,2.0007022685346434,0.0454322934070971,5.669029104122137e-05,0.005520955486926625
int_rate,0.060654702134292394,0.003431989247285846,17.67333687955478,1.36346741944078e-69,0.053927891193108736,0.06738151307547606
emp_length,-0.005069601240583402,0.0010521021257610765,-4.818544812763419,1.4522189512316168e-06,-0.007131755746577033,-0.003007446734589771
annual_inc,-0.0022762282936735555,0.0013105191962427096,-1.7368904631077189,0.08241541824443302,-0.004844888692271371,0.0002924321049242594
dti,0.004528558334045775,0.0011859968750482792,3.8183560423474368,0.00013457841705393663,0.002203965749266059,0.00685315091882549
inq_last_6mths,0.010427153867272365,0.0010789134828483725,9.664494913664702,4.55080176035309e-22,0.008312448226293262,0.012541859508251468
mths_since_last_delinq,-0.005441234500510649,0.001039232420873123,-5.2358205837527025,1.652130485807815e-07,-0.007478163964870319,-0.0034043050361509787
open_acc,-0.011714677910564774,0.001436014392514493,-8.157771935733955,3.5269514259933113e-16,-0.014529312989885915,-0.008900042831243633
revol_bal,-0.00017781176613006105,0.001156502208884977,-0.15374961220480107,0.8778080627704026,-0.00244459384255496,0.0020889703102948375
total_acc,0.008600301541129429,0.001514388359834998,5.679059460062468,1.3652271267344143e-08,0.005632050927816601,0.011568552154442257
tot_cur_bal,0.008850110195731994,0.0012741782088756476,6.945739719988975,3.831342069703164e-12,0.006352679318505057,0.011347541072958931
mths_since_earliest_cr_line,-0.004820555391182963,0.001109909532816723,-4.343196673831048,1.4082386220968322e-05,-0.006996014301778359,-0.002645096480587568
term_60,0.12054649388427216,0.0027532663588008,43.78308458930825,0.0,0.11515000195731726,0.12594298581122707
region_Northeast,-0.0021014486868630006,0.003396541825641276,-0.6187024316905745,0.5361164861117562,-0.00875878152465691,0.004555884150930908
region_South,-0.0006728799574424156,0.0030901647295193094,-0.21774889571893,0.8276260500747478,-0.0067297036870125155,0.005383943772127684
region_West,0.0007391732697438534,0.003237706657467626,0.22830149483708886,0.819413213434941,-0.005606837454217609,0.007085183993705315
home_ownership_OWN,0.008794058156001561,0.003925705432137741,2.240121758502079,0.025089349884660467,0.0010995473781334848,0.016488568933869636
home_ownership_RENT_NONE_OTHER,0.007433418147121958,0.002551878587547544,2.912919988981829,0.003582955755769146,0.002431652824907534,0.012435183469336381
purpose_debt_consolidation,0.006959229990944998,0.0028003757022592754,2.4851058325247073,0.012955986726715146,0.001470402213212275,0.01244805776867772
purpose_home_improvement,0.011907364196849375,0.00526778154731524,2.2604134377816107,0.023801798679302842,0.0015823404292868003,0.022232387964411952
purpose_house_car_medical,0.00011511949728931097,0.006408914796464122,0.01796240095949221,0.9856689519617166,-0.012446562683988806,0.012676801678567428
purpose_major_purchase,0.015539408851628201,0.007612575743679517,2.041281344823411,0.041230450577357594,0.0006185119275861663,0.030460305775670236
purpose_other,0.01811433434463936,0.004615654109398768,3.924543285805037,8.706264010305625e-05,0.009067501640143723,0.027161167049135
purpose_small_business,0.026565074301555643,0.006010864843529634,4.41950950372,9.922601534913796e-06,0.014783583019959077,0.038346565583152206
purpose_vacation_moving_wedding,0.016397129444202303,0.007250838855181801,2.2614113720765037,0.023739983952407305,0.0021852486283256856,0.030609010260078923
verification_status_Source Verified,0.026268927963737025,0.0029157464746244477,9.00933198148529,2.176739714443433e-19,0.020553969706588435,0.03198388622088562
verification_status_Verified,0.009272352036401494,0.0027591656760449458,3.3605637084079363,0.0007786778087155732,0.003864297255100577,0.014680406817702411
initial_list_status_w,0.03548932365386668,0.0026691943112992986,13.29589363488166,3.0711746807462644e-40,0.03025761568403753,0.04072103162369583
grade,-0.004601998437050983,0.005013110401317964,-0.9179926370345047,0.35862912786455714,-0.01442785844626173,0.005223861572159766
sub_grade,-0.019314417685909538,0.0060154096663858235,-3.2108233282661893,0.0013247630723703329,-0.03110481696864245,-0.007524018403176624
